Country,City,LaundryID,TenantID,Service,Item,StartDate,EndDate,DeliveryDate,Fee,Water_Litres,Electricity_kWh,IsHoliday,DayOfWeek,IsWeekend
Pakistan,Lahore,L8,T38,Press,Curtain,2025-02-11,2025-02-12,2025-02-14,23.74,,3.87,0,1,0
Pakistan,Lahore,L1,T100,Wash,Curtain,2025-02-11,2025-02-14,2025-02-16,36.92,268.0,4.65,0,1,0
USA,New York,L9,T51,Wash,Curtain,2025-02-11,2025-02-13,2025-02-15,45.2,235.0,3.91,0,1,0
UK,Birmingham,L4,T90,Press,Curtain,2025-02-11,2025-02-12,2025-02-13,39.11,,4.17,0,1,0
USA,Chicago,L5,T59,Press,Tablecloth,2025-02-11,2025-02-12,2025-02-14,72.64,,2.16,0,1,0
USA,New York,L4,T96,Wash,Bedsheet,2025-02-11,2025-02-13,2025-02-14,71.05,137.0,2.51,0,1,0
UK,Birmingham,L3,T8,Wash,Curtain,2025-02-11,2025-02-12,2025-02-13,20.56,231.0,3.6,0,1,0
Pakistan,Karachi,L3,T81,Press,Towel,2025-02-11,2025-02-12,2025-02-13,31.68,,2.95,0,1,0
Pakistan,Islamabad,L3,T84,Press,Bedsheet,2025-02-11,2025-02-13,2025-02-15,34.77,,3.61,0,1,0
UK,London,L2,T15,Wash,Curtain,2025-02-11,2025-02-14,2025-02-15,12.07,246.0,4.95,0,1,0
UK,Manchester,L2,T76,Wash,Curtain,2025-02-11,2025-02-14,2025-02-16,36.85,132.0,1.4,0,1,0
USA,Chicago,L9,T24,Dry-clean,Bedsheet,2025-02-11,2025-02-13,2025-02-15,15.75,249.0,3.16,0,1,0
Pakistan,Lahore,L4,T85,Press,Towel,2025-02-11,2025-02-14,2025-02-15,10.48,,2.79,0,1,0
UK,London,L1,T17,Dry-clean,Towel,2025-02-11,2025-02-12,2025-02-14,86.63,108.0,1.34,0,1,0
USA,Chicago,L5,T47,Rent-Laundry,Towel,2025-02-11,2025-02-13,2025-02-14,32.35,,,0,1,0
USA,Chicago,L5,T85,Dry-clean,Towel,2025-02-11,2025-02-14,2025-02-16,72.56,233.0,4.64,0,1,0
UK,Birmingham,L9,T66,Wash,Bedsheet,2025-02-12,2025-02-15,2025-02-16,31.34,148.0,1.57,0,2,0
USA,New York,L10,T71,Wash,Uniform,2025-02-12,2025-02-14,2025-02-15,75.62,208.0,1.3,0,2,0
UK,Manchester,L7,T84,Rent-Laundry,Curtain,2025-02-12,2025-02-14,2025-02-15,95.03,,,0,2,0
Pakistan,Karachi,L3,T69,Wash,Uniform,2025-02-12,2025-02-15,2025-02-16,74.3,244.0,3.63,0,2,0
Pakistan,Islamabad,L3,T54,Press,Uniform,2025-02-12,2025-02-14,2025-02-16,12.33,,3.41,0,2,0
USA,Los Angeles,L2,T69,Wash,Tablecloth,2025-02-12,2025-02-14,2025-02-15,39.64,122.0,2.45,0,2,0
UK,Manchester,L3,T29,Wash,Bedsheet,2025-02-12,2025-02-14,2025-02-15,44.08,126.0,4.13,0,2,0
USA,New York,L9,T94,Press,Tablecloth,2025-02-12,2025-02-14,2025-02-15,57.61,,3.8,0,2,0
UK,Birmingham,L5,T78,Wash,Bedsheet,2025-02-12,2025-02-13,2025-02-15,95.19,199.0,1.72,0,2,0
Pakistan,Islamabad,L9,T71,Dry-clean,Curtain,2025-02-12,2025-02-14,2025-02-15,33.32,275.0,3.05,0,2,0
USA,Chicago,L3,T19,Wash,Uniform,2025-02-12,2025-02-13,2025-02-15,73.68,163.0,3.71,0,2,0
UK,Birmingham,L8,T24,Dry-clean,Uniform,2025-02-12,2025-02-14,2025-02-16,34.82,209.0,3.08,0,2,0
Pakistan,Lahore,L5,T82,Press,Uniform,2025-02-12,2025-02-14,2025-02-16,86.07,,3.54,0,2,0
USA,Chicago,L4,T12,Wash,Bedsheet,2025-02-12,2025-02-13,2025-02-15,59.87,226.0,4.23,0,2,0
USA,Los Angeles,L9,T94,Wash,Curtain,2025-02-12,2025-02-15,2025-02-16,46.49,257.0,1.76,0,2,0
Pakistan,Lahore,L7,T90,Dry-clean,Uniform,2025-02-12,2025-02-13,2025-02-14,64.66,143.0,3.7,0,2,0
Pakistan,Lahore,L3,T10,Wash,Towel,2025-02-12,2025-02-15,2025-02-17,95.72,208.0,2.98,0,2,0
USA,Los Angeles,L2,T44,Rent-Laundry,Towel,2025-02-12,2025-02-15,2025-02-16,36.11,,,0,2,0
UK,Manchester,L5,T28,Wash,Tablecloth,2025-02-12,2025-02-14,2025-02-15,93.08,264.0,3.06,0,2,0
USA,Los Angeles,L10,T63,Wash,Bedsheet,2025-02-12,2025-02-15,2025-02-17,39.57,190.0,1.43,0,2,0
UK,Birmingham,L3,T52,Wash,Bedsheet,2025-02-12,2025-02-14,2025-02-16,27.78,235.0,3.06,0,2,0
USA,Los Angeles,L2,T63,Wash,Uniform,2025-02-12,2025-02-13,2025-02-15,45.58,176.0,2.46,0,2,0
USA,Chicago,L5,T14,Rent-Laundry,Curtain,2025-02-13,2025-02-14,2025-02-15,41.84,,,0,3,0
UK,London,L6,T91,Wash,Towel,2025-02-13,2025-02-15,2025-02-16,22.03,207.0,3.98,0,3,0
USA,New York,L4,T62,Rent-Laundry,Uniform,2025-02-13,2025-02-14,2025-02-16,54.02,,,0,3,0
UK,Birmingham,L3,T42,Press,Curtain,2025-02-13,2025-02-16,2025-02-18,21.83,,4.83,0,3,0
USA,New York,L3,T45,Dry-clean,Towel,2025-02-13,2025-02-14,2025-02-16,48.67,252.0,3.95,0,3,0
UK,Manchester,L5,T37,Dry-clean,Curtain,2025-02-13,2025-02-14,2025-02-15,75.63,147.0,2.0,0,3,0
USA,Los Angeles,L4,T86,Press,Towel,2025-02-13,2025-02-15,2025-02-16,73.1,,3.01,0,3,0
USA,New York,L10,T81,Press,Towel,2025-02-13,2025-02-14,2025-02-15,46.12,,2.1,0,3,0
USA,New York,L7,T3,Press,Bedsheet,2025-02-13,2025-02-14,2025-02-16,46.66,,2.23,0,3,0
Pakistan,Lahore,L4,T44,Dry-clean,Bedsheet,2025-02-13,2025-02-16,2025-02-18,67.95,177.0,1.44,0,3,0
UK,Manchester,L6,T92,Dry-clean,Uniform,2025-02-13,2025-02-14,2025-02-15,13.68,113.0,3.64,0,3,0
UK,London,L5,T61,Wash,Tablecloth,2025-02-13,2025-02-14,2025-02-16,26.64,225.0,2.45,0,3,0
UK,London,L2,T86,Wash,Tablecloth,2025-02-13,2025-02-14,2025-02-16,42.45,192.0,3.97,0,3,0
Pakistan,Islamabad,L10,T48,Wash,Uniform,2025-02-13,2025-02-14,2025-02-16,17.85,127.0,1.52,0,3,0
Pakistan,Islamabad,L2,T6,Dry-clean,Towel,2025-02-13,2025-02-14,2025-02-16,93.3,119.0,4.77,0,3,0
Pakistan,Karachi,L5,T93,Dry-clean,Towel,2025-02-13,2025-02-16,2025-02-17,13.94,149.0,2.67,0,3,0
Pakistan,Karachi,L9,T45,Press,Curtain,2025-02-13,2025-02-16,2025-02-17,91.98,,1.27,0,3,0
UK,Birmingham,L9,T3,Wash,Uniform,2025-02-13,2025-02-16,2025-02-17,36.07,244.0,1.24,0,3,0
Pakistan,Lahore,L7,T64,Press,Tablecloth,2025-02-13,2025-02-14,2025-02-15,49.4,,3.04,0,3,0
Pakistan,Karachi,L7,T78,Wash,Towel,2025-02-13,2025-02-14,2025-02-15,61.47,251.0,3.79,0,3,0
Pakistan,Karachi,L9,T91,Press,Uniform,2025-02-14,2025-02-16,2025-02-17,36.67,,2.07,0,4,0
USA,New York,L4,T6,Dry-clean,Uniform,2025-02-14,2025-02-15,2025-02-16,94.78,171.0,4.71,0,4,0
UK,London,L4,T27,Dry-clean,Bedsheet,2025-02-14,2025-02-17,2025-02-19,66.94,194.0,2.3,0,4,0
Pakistan,Islamabad,L5,T93,Wash,Tablecloth,2025-02-14,2025-02-16,2025-02-18,98.67,260.0,4.26,0,4,0
UK,London,L5,T23,Wash,Bedsheet,2025-02-14,2025-02-17,2025-02-18,75.03,276.0,2.53,0,4,0
Pakistan,Karachi,L10,T71,Wash,Curtain,2025-02-14,2025-02-15,2025-02-17,34.19,248.0,3.52,0,4,0
UK,London,L8,T30,Press,Curtain,2025-02-14,2025-02-16,2025-02-17,91.2,,1.37,0,4,0
USA,Los Angeles,L3,T23,Wash,Curtain,2025-02-14,2025-02-17,2025-02-18,68.28,105.0,2.24,0,4,0
USA,Los Angeles,L10,T25,Wash,Bedsheet,2025-02-14,2025-02-16,2025-02-17,50.95,265.0,4.88,0,4,0
USA,Chicago,L9,T18,Press,Bedsheet,2025-02-14,2025-02-17,2025-02-18,44.01,,1.08,0,4,0
USA,Chicago,L1,T17,Wash,Bedsheet,2025-02-14,2025-02-16,2025-02-17,94.47,253.0,1.05,0,4,0
USA,New York,L9,T95,Press,Bedsheet,2025-02-14,2025-02-15,2025-02-16,53.24,,3.25,0,4,0
UK,London,L5,T43,Dry-clean,Towel,2025-02-14,2025-02-15,2025-02-17,66.47,131.0,1.08,0,4,0
USA,New York,L9,T38,Wash,Curtain,2025-02-14,2025-02-15,2025-02-16,92.1,106.0,1.91,0,4,0
UK,London,L6,T84,Wash,Curtain,2025-02-14,2025-02-17,2025-02-18,54.26,128.0,1.9,0,4,0
UK,Manchester,L2,T79,Wash,Uniform,2025-02-14,2025-02-15,2025-02-16,64.41,145.0,2.71,0,4,0
UK,Birmingham,L3,T87,Dry-clean,Uniform,2025-02-14,2025-02-17,2025-02-19,41.35,126.0,2.08,0,4,0
UK,Birmingham,L6,T34,Press,Bedsheet,2025-02-14,2025-02-15,2025-02-16,80.0,,1.59,0,4,0
USA,Los Angeles,L8,T93,Press,Curtain,2025-02-14,2025-02-15,2025-02-16,62.01,,4.84,0,4,0
UK,London,L2,T42,Rent-Laundry,Towel,2025-02-14,2025-02-16,2025-02-18,38.74,,,0,4,0
UK,Manchester,L7,T78,Press,Uniform,2025-02-14,2025-02-15,2025-02-16,44.49,,3.2,0,4,0
Pakistan,Islamabad,L8,T69,Dry-clean,Towel,2025-02-14,2025-02-16,2025-02-17,62.29,207.0,3.11,0,4,0
Pakistan,Islamabad,L4,T90,Wash,Uniform,2025-02-14,2025-02-15,2025-02-16,99.45,104.0,2.45,0,4,0
UK,London,L2,T8,Rent-Laundry,Uniform,2025-02-14,2025-02-15,2025-02-17,51.43,,,0,4,0
Pakistan,Karachi,L4,T27,Press,Bedsheet,2025-02-14,2025-02-17,2025-02-18,20.55,,3.78,0,4,0
USA,Los Angeles,L1,T90,Rent-Laundry,Uniform,2025-02-14,2025-02-15,2025-02-16,69.65,,,0,4,0
USA,Los Angeles,L10,T21,Wash,Uniform,2025-02-15,2025-02-16,2025-02-17,32.05,103.0,3.28,0,5,1
UK,London,L3,T61,Press,Tablecloth,2025-02-15,2025-02-18,2025-02-20,52.32,,3.89,0,5,1
UK,Birmingham,L1,T37,Wash,Bedsheet,2025-02-15,2025-02-18,2025-02-19,64.38,144.0,3.01,0,5,1
USA,Los Angeles,L7,T88,Rent-Laundry,Curtain,2025-02-15,2025-02-18,2025-02-20,92.72,,,0,5,1
Pakistan,Karachi,L4,T55,Rent-Laundry,Uniform,2025-02-15,2025-02-16,2025-02-18,98.01,,,0,5,1
USA,Chicago,L4,T52,Press,Towel,2025-02-15,2025-02-17,2025-02-18,84.03,,4.9,0,5,1
Pakistan,Lahore,L8,T62,Wash,Curtain,2025-02-15,2025-02-17,2025-02-18,14.92,195.0,3.59,0,5,1
USA,Los Angeles,L2,T14,Wash,Tablecloth,2025-02-15,2025-02-17,2025-02-18,31.56,141.0,3.17,0,5,1
USA,New York,L10,T2,Press,Uniform,2025-02-15,2025-02-16,2025-02-17,67.46,,1.13,0,5,1
UK,London,L10,T73,Wash,Curtain,2025-02-15,2025-02-16,2025-02-17,38.31,179.0,1.03,0,5,1
UK,Manchester,L7,T65,Wash,Curtain,2025-02-15,2025-02-18,2025-02-20,97.65,279.0,3.7,0,5,1
UK,Manchester,L9,T13,Dry-clean,Towel,2025-02-15,2025-02-16,2025-02-18,52.93,109.0,2.16,0,5,1
USA,Chicago,L8,T11,Press,Bedsheet,2025-02-15,2025-02-18,2025-02-19,89.6,,4.23,0,5,1
Pakistan,Lahore,L3,T65,Dry-clean,Tablecloth,2025-02-15,2025-02-18,2025-02-20,50.27,133.0,2.36,0,5,1
UK,Birmingham,L7,T6,Press,Curtain,2025-02-15,2025-02-16,2025-02-17,99.73,,3.43,0,5,1
USA,Chicago,L8,T13,Press,Towel,2025-02-15,2025-02-17,2025-02-18,54.9,,2.82,0,5,1
USA,Los Angeles,L3,T9,Wash,Uniform,2025-02-15,2025-02-17,2025-02-18,16.4,281.0,4.09,0,5,1
UK,Manchester,L5,T98,Press,Towel,2025-02-15,2025-02-16,2025-02-18,13.56,,4.44,0,5,1
UK,Manchester,L10,T88,Wash,Uniform,2025-02-15,2025-02-18,2025-02-20,43.63,274.0,2.65,0,5,1
UK,Manchester,L1,T80,Rent-Laundry,Bedsheet,2025-02-15,2025-02-18,2025-02-19,72.98,,,0,5,1
Pakistan,Lahore,L3,T14,Wash,Towel,2025-02-15,2025-02-18,2025-02-20,86.84,157.0,2.55,0,5,1
UK,Birmingham,L2,T45,Dry-clean,Tablecloth,2025-02-15,2025-02-17,2025-02-18,17.72,287.0,1.43,0,5,1
UK,Manchester,L4,T52,Wash,Uniform,2025-02-15,2025-02-17,2025-02-19,29.14,289.0,2.9,0,5,1
UK,Manchester,L1,T70,Wash,Curtain,2025-02-15,2025-02-16,2025-02-17,38.82,108.0,4.95,0,5,1
UK,London,L6,T56,Rent-Laundry,Towel,2025-02-15,2025-02-16,2025-02-17,88.12,,,0,5,1
Pakistan,Karachi,L5,T33,Press,Bedsheet,2025-02-15,2025-02-16,2025-02-17,34.65,,1.33,0,5,1
Pakistan,Karachi,L7,T68,Wash,Uniform,2025-02-15,2025-02-16,2025-02-17,18.32,209.0,2.37,0,5,1
UK,London,L4,T45,Rent-Laundry,Curtain,2025-02-16,2025-02-18,2025-02-19,96.9,,,0,6,1
UK,Manchester,L10,T50,Press,Tablecloth,2025-02-16,2025-02-19,2025-02-20,17.0,,3.67,0,6,1
Pakistan,Lahore,L6,T86,Rent-Laundry,Uniform,2025-02-16,2025-02-17,2025-02-18,90.69,,,0,6,1
USA,Los Angeles,L6,T15,Press,Curtain,2025-02-16,2025-02-18,2025-02-19,98.94,,4.77,0,6,1
USA,Chicago,L8,T82,Rent-Laundry,Bedsheet,2025-02-16,2025-02-17,2025-02-18,77.11,,,0,6,1
USA,Los Angeles,L9,T100,Wash,Curtain,2025-02-16,2025-02-17,2025-02-19,28.88,148.0,4.89,0,6,1
Pakistan,Lahore,L6,T47,Wash,Uniform,2025-02-16,2025-02-19,2025-02-20,72.94,266.0,5.0,0,6,1
UK,Manchester,L6,T46,Press,Curtain,2025-02-16,2025-02-19,2025-02-21,20.2,,1.7,0,6,1
UK,Manchester,L3,T71,Dry-clean,Tablecloth,2025-02-16,2025-02-18,2025-02-20,35.65,268.0,3.75,0,6,1
UK,Birmingham,L5,T90,Press,Bedsheet,2025-02-16,2025-02-17,2025-02-18,18.07,,1.07,0,6,1
UK,London,L8,T96,Press,Tablecloth,2025-02-16,2025-02-17,2025-02-19,55.3,,4.22,0,6,1
Pakistan,Karachi,L7,T28,Wash,Curtain,2025-02-16,2025-02-19,2025-02-21,20.31,220.0,4.8,0,6,1
UK,Manchester,L7,T83,Press,Curtain,2025-02-16,2025-02-17,2025-02-19,80.4,,3.03,0,6,1
UK,Birmingham,L5,T40,Press,Curtain,2025-02-16,2025-02-19,2025-02-20,10.37,,4.64,0,6,1
USA,New York,L1,T20,Press,Tablecloth,2025-02-16,2025-02-19,2025-02-21,40.16,,4.84,0,6,1
UK,London,L9,T51,Wash,Curtain,2025-02-16,2025-02-17,2025-02-19,21.6,262.0,2.56,0,6,1
Pakistan,Lahore,L7,T41,Dry-clean,Curtain,2025-02-16,2025-02-17,2025-02-18,73.9,132.0,3.02,0,6,1
Pakistan,Islamabad,L7,T98,Press,Uniform,2025-02-17,2025-02-20,2025-02-21,95.38,,1.82,0,0,0
USA,New York,L7,T2,Press,Tablecloth,2025-02-17,2025-02-18,2025-02-19,65.63,,3.17,0,0,0
USA,Chicago,L7,T4,Press,Towel,2025-02-17,2025-02-19,2025-02-21,26.79,,3.61,0,0,0
USA,Los Angeles,L4,T69,Press,Curtain,2025-02-17,2025-02-19,2025-02-20,34.75,,4.74,0,0,0
Pakistan,Lahore,L10,T14,Wash,Tablecloth,2025-02-17,2025-02-18,2025-02-19,22.77,167.0,4.58,0,0,0
USA,New York,L8,T47,Rent-Laundry,Towel,2025-02-17,2025-02-19,2025-02-20,54.19,,,0,0,0
USA,Los Angeles,L2,T63,Rent-Laundry,Bedsheet,2025-02-17,2025-02-18,2025-02-20,43.77,,,0,0,0
UK,Birmingham,L8,T21,Wash,Bedsheet,2025-02-17,2025-02-18,2025-02-19,20.55,187.0,4.97,0,0,0
UK,Birmingham,L10,T70,Wash,Tablecloth,2025-02-17,2025-02-20,2025-02-22,93.39,149.0,3.42,0,0,0
Pakistan,Lahore,L9,T66,Press,Towel,2025-02-17,2025-02-19,2025-02-20,90.87,,1.12,0,0,0
USA,New York,L2,T94,Press,Towel,2025-02-17,2025-02-19,2025-02-21,53.34,,4.81,0,0,0
UK,Birmingham,L9,T84,Wash,Curtain,2025-02-17,2025-02-19,2025-02-21,93.01,164.0,1.69,0,0,0
Pakistan,Islamabad,L5,T51,Wash,Tablecloth,2025-02-17,2025-02-19,2025-02-20,81.47,284.0,2.95,0,0,0
UK,Manchester,L10,T96,Wash,Uniform,2025-02-17,2025-02-20,2025-02-21,64.66,209.0,1.8,0,0,0
UK,Manchester,L2,T58,Wash,Bedsheet,2025-02-17,2025-02-20,2025-02-22,62.82,175.0,3.42,0,0,0
Pakistan,Islamabad,L6,T51,Wash,Towel,2025-02-17,2025-02-19,2025-02-21,81.18,191.0,1.98,0,0,0
USA,Chicago,L6,T48,Wash,Uniform,2025-02-17,2025-02-18,2025-02-19,38.67,102.0,3.87,0,0,0
USA,Los Angeles,L10,T42,Press,Tablecloth,2025-02-17,2025-02-18,2025-02-20,35.53,,1.85,0,0,0
USA,New York,L9,T36,Press,Bedsheet,2025-02-17,2025-02-20,2025-02-22,71.39,,2.74,0,0,0
UK,London,L4,T7,Press,Curtain,2025-02-17,2025-02-18,2025-02-20,47.91,,1.5,0,0,0
USA,Chicago,L6,T76,Wash,Tablecloth,2025-02-18,2025-02-19,2025-02-21,11.61,300.0,4.42,0,1,0
USA,Los Angeles,L5,T17,Press,Curtain,2025-02-18,2025-02-19,2025-02-20,40.37,,1.07,0,1,0
UK,London,L7,T93,Wash,Uniform,2025-02-18,2025-02-20,2025-02-22,17.18,298.0,2.25,0,1,0
Pakistan,Lahore,L7,T39,Press,Curtain,2025-02-18,2025-02-20,2025-02-21,85.88,,4.75,0,1,0
USA,New York,L4,T7,Press,Towel,2025-02-18,2025-02-19,2025-02-21,87.52,,3.9,0,1,0
USA,New York,L2,T25,Press,Uniform,2025-02-18,2025-02-21,2025-02-22,94.07,,4.47,0,1,0
UK,London,L2,T7,Rent-Laundry,Bedsheet,2025-02-18,2025-02-20,2025-02-22,71.91,,,0,1,0
UK,Manchester,L3,T18,Dry-clean,Bedsheet,2025-02-18,2025-02-19,2025-02-21,87.57,292.0,3.34,0,1,0
UK,Birmingham,L8,T86,Wash,Tablecloth,2025-02-18,2025-02-19,2025-02-21,69.51,171.0,2.29,0,1,0
Pakistan,Karachi,L4,T12,Wash,Uniform,2025-02-18,2025-02-21,2025-02-22,41.77,162.0,3.64,0,1,0
Pakistan,Lahore,L2,T10,Rent-Laundry,Bedsheet,2025-02-18,2025-02-19,2025-02-20,70.34,,,0,1,0
UK,Manchester,L4,T63,Wash,Towel,2025-02-18,2025-02-21,2025-02-23,78.44,179.0,3.83,0,1,0
Pakistan,Lahore,L9,T14,Rent-Laundry,Towel,2025-02-18,2025-02-20,2025-02-22,97.76,,,0,1,0
Pakistan,Islamabad,L4,T100,Dry-clean,Bedsheet,2025-02-18,2025-02-20,2025-02-22,24.78,178.0,4.81,0,1,0
Pakistan,Islamabad,L2,T19,Dry-clean,Bedsheet,2025-02-18,2025-02-21,2025-02-22,31.65,217.0,1.75,0,1,0
USA,Los Angeles,L9,T58,Wash,Bedsheet,2025-02-18,2025-02-21,2025-02-22,41.9,154.0,1.6,0,1,0
Pakistan,Karachi,L9,T43,Wash,Uniform,2025-02-18,2025-02-20,2025-02-21,14.42,197.0,3.93,0,1,0
UK,London,L5,T25,Dry-clean,Tablecloth,2025-02-19,2025-02-21,2025-02-23,56.68,127.0,3.72,0,2,0
Pakistan,Lahore,L2,T29,Wash,Bedsheet,2025-02-19,2025-02-22,2025-02-24,31.49,236.0,1.4,0,2,0
USA,Chicago,L7,T51,Wash,Towel,2025-02-19,2025-02-22,2025-02-24,54.57,143.0,4.14,0,2,0
UK,Birmingham,L5,T91,Dry-clean,Bedsheet,2025-02-19,2025-02-20,2025-02-21,55.29,279.0,3.49,0,2,0
Pakistan,Karachi,L4,T22,Wash,Bedsheet,2025-02-19,2025-02-20,2025-02-21,39.89,216.0,1.57,0,2,0
USA,Chicago,L8,T55,Wash,Towel,2025-02-19,2025-02-21,2025-02-22,25.37,294.0,4.41,0,2,0
Pakistan,Karachi,L8,T75,Wash,Towel,2025-02-19,2025-02-21,2025-02-22,14.07,104.0,3.27,0,2,0
UK,London,L9,T65,Wash,Towel,2025-02-19,2025-02-20,2025-02-21,37.41,288.0,2.34,0,2,0
UK,Birmingham,L6,T70,Wash,Curtain,2025-02-19,2025-02-21,2025-02-23,51.29,190.0,2.2,0,2,0
UK,Birmingham,L10,T62,Wash,Tablecloth,2025-02-19,2025-02-22,2025-02-23,23.31,205.0,4.43,0,2,0
Pakistan,Lahore,L6,T64,Wash,Tablecloth,2025-02-20,2025-02-23,2025-02-25,42.35,290.0,1.36,0,3,0
UK,Birmingham,L2,T36,Press,Tablecloth,2025-02-20,2025-02-22,2025-02-23,33.88,,3.72,0,3,0
UK,Manchester,L10,T54,Rent-Laundry,Uniform,2025-02-20,2025-02-22,2025-02-23,13.7,,,0,3,0
Pakistan,Islamabad,L6,T79,Wash,Curtain,2025-02-20,2025-02-23,2025-02-25,35.96,102.0,3.0,0,3,0
Pakistan,Lahore,L8,T88,Wash,Uniform,2025-02-20,2025-02-23,2025-02-24,37.33,173.0,1.26,0,3,0
UK,London,L8,T6,Wash,Tablecloth,2025-02-20,2025-02-21,2025-02-22,53.95,101.0,2.72,0,3,0
Pakistan,Lahore,L1,T33,Wash,Uniform,2025-02-20,2025-02-23,2025-02-24,95.83,282.0,2.08,0,3,0
Pakistan,Lahore,L7,T75,Rent-Laundry,Uniform,2025-02-20,2025-02-21,2025-02-22,52.59,,,0,3,0
UK,London,L7,T55,Wash,Bedsheet,2025-02-20,2025-02-22,2025-02-24,63.73,144.0,3.26,0,3,0
Pakistan,Karachi,L10,T18,Press,Towel,2025-02-20,2025-02-22,2025-02-23,47.47,,1.8,0,3,0
UK,London,L5,T73,Rent-Laundry,Curtain,2025-02-20,2025-02-23,2025-02-24,43.84,,,0,3,0
UK,London,L3,T68,Dry-clean,Uniform,2025-02-20,2025-02-23,2025-02-25,52.15,209.0,2.87,0,3,0
UK,Manchester,L1,T72,Wash,Curtain,2025-02-20,2025-02-21,2025-02-22,65.37,177.0,4.15,0,3,0
Pakistan,Islamabad,L6,T17,Press,Tablecloth,2025-02-20,2025-02-22,2025-02-23,77.98,,2.57,0,3,0
UK,Birmingham,L1,T60,Press,Tablecloth,2025-02-20,2025-02-22,2025-02-23,17.62,,2.08,0,3,0
Pakistan,Lahore,L6,T77,Wash,Uniform,2025-02-20,2025-02-23,2025-02-25,72.15,115.0,1.49,0,3,0
Pakistan,Islamabad,L9,T95,Press,Towel,2025-02-21,2025-02-24,2025-02-25,60.58,,4.87,0,4,0
USA,New York,L3,T39,Press,Bedsheet,2025-02-21,2025-02-23,2025-02-24,20.32,,1.0,0,4,0
Pakistan,Lahore,L9,T13,Wash,Bedsheet,2025-02-21,2025-02-23,2025-02-24,84.95,213.0,2.56,0,4,0
USA,Los Angeles,L7,T62,Rent-Laundry,Towel,2025-02-21,2025-02-24,2025-02-26,83.95,,,0,4,0
Pakistan,Karachi,L10,T16,Dry-clean,Bedsheet,2025-02-21,2025-02-22,2025-02-23,83.67,268.0,1.96,0,4,0
Pakistan,Islamabad,L9,T26,Dry-clean,Uniform,2025-02-21,2025-02-23,2025-02-24,96.32,226.0,2.47,0,4,0
UK,Manchester,L7,T90,Press,Curtain,2025-02-21,2025-02-23,2025-02-25,23.33,,2.13,0,4,0
USA,Chicago,L7,T2,Dry-clean,Bedsheet,2025-02-21,2025-02-24,2025-02-26,13.84,190.0,4.85,0,4,0
UK,Birmingham,L8,T36,Wash,Towel,2025-02-21,2025-02-23,2025-02-24,41.4,280.0,3.1,0,4,0
Pakistan,Lahore,L3,T84,Wash,Tablecloth,2025-02-21,2025-02-23,2025-02-25,74.37,135.0,2.11,0,4,0
Pakistan,Karachi,L7,T9,Rent-Laundry,Curtain,2025-02-21,2025-02-23,2025-02-25,64.53,,,0,4,0
USA,Chicago,L9,T100,Press,Uniform,2025-02-21,2025-02-22,2025-02-24,63.0,,3.32,0,4,0
Pakistan,Islamabad,L7,T9,Wash,Towel,2025-02-21,2025-02-22,2025-02-23,69.87,227.0,4.74,0,4,0
UK,Manchester,L4,T99,Press,Towel,2025-02-21,2025-02-22,2025-02-23,75.53,,2.54,0,4,0
UK,London,L1,T79,Wash,Bedsheet,2025-02-21,2025-02-24,2025-02-25,49.74,195.0,3.43,0,4,0
USA,New York,L6,T14,Press,Curtain,2025-02-21,2025-02-22,2025-02-23,27.61,,2.96,0,4,0
Pakistan,Karachi,L4,T26,Press,Curtain,2025-02-21,2025-02-24,2025-02-25,17.74,,1.1,0,4,0
Pakistan,Lahore,L4,T5,Press,Bedsheet,2025-02-21,2025-02-23,2025-02-25,61.15,,4.46,0,4,0
UK,London,L9,T64,Wash,Towel,2025-02-21,2025-02-24,2025-02-26,55.08,191.0,3.47,0,4,0
Pakistan,Lahore,L2,T57,Dry-clean,Curtain,2025-02-21,2025-02-22,2025-02-23,21.45,232.0,2.19,0,4,0
USA,Los Angeles,L4,T7,Press,Uniform,2025-02-21,2025-02-22,2025-02-23,83.92,,2.16,0,4,0
UK,Manchester,L6,T9,Press,Towel,2025-02-21,2025-02-23,2025-02-24,58.1,,1.97,0,4,0
Pakistan,Islamabad,L9,T40,Wash,Bedsheet,2025-02-21,2025-02-24,2025-02-25,62.45,167.0,3.61,0,4,0
USA,Los Angeles,L7,T34,Wash,Bedsheet,2025-02-21,2025-02-22,2025-02-23,59.24,287.0,2.32,0,4,0
Pakistan,Lahore,L4,T64,Wash,Tablecloth,2025-02-22,2025-02-25,2025-02-26,41.13,118.0,4.8,0,5,1
Pakistan,Islamabad,L10,T11,Press,Curtain,2025-02-22,2025-02-23,2025-02-25,75.1,,1.42,0,5,1
UK,Birmingham,L4,T84,Wash,Curtain,2025-02-22,2025-02-24,2025-02-25,11.93,114.0,1.11,0,5,1
USA,Chicago,L10,T49,Press,Bedsheet,2025-02-22,2025-02-25,2025-02-27,14.69,,4.06,0,5,1
Pakistan,Lahore,L7,T90,Dry-clean,Towel,2025-02-22,2025-02-23,2025-02-25,20.62,257.0,4.93,0,5,1
UK,Manchester,L4,T44,Dry-clean,Bedsheet,2025-02-22,2025-02-23,2025-02-24,18.28,102.0,1.91,0,5,1
Pakistan,Islamabad,L10,T6,Rent-Laundry,Bedsheet,2025-02-22,2025-02-25,2025-02-26,83.14,,,0,5,1
